,accident_type,day_of_week,dca_code,road_geometry,light_condition,speed_zone,severity,node_type,deg_urban_name,road_type,month,hour
75,2,4,100,4,3,60.0,0,I,MELB_URBAN,STREET,1,0.0
76,4,5,173,2,6,60.0,0,I,MELB_URBAN,AVENUE,1,2.0
77,1,5,113,2,1,80.0,0,I,MELB_URBAN,ROAD,1,8.0
78,1,3,130,2,5,60.0,0,I,MELB_URBAN,ROAD,1,22.0
79,1,5,120,5,1,70.0,0,N,MELB_URBAN,STREET,1,7.0
80,1,5,121,1,1,60.0,0,I,MELB_URBAN,STREET,1,8.0
81,1,4,133,2,1,40.0,0,I,MELB_URBAN,STREET,1,9.0
82,1,5,99,2,1,70.0,0,I,MELB_URBAN,STREET,1,8.0
83,6,4,174,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,21.0
84,8,2,174,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
85,4,5,181,5,5,100.0,1,N,RURAL_VICTORIA,HIGHWAY,1,3.0
86,2,4,102,5,1,40.0,0,N,MELB_URBAN,OTHER,1,11.0
87,1,3,130,2,1,60.0,0,I,MELB_URBAN,ROAD,1,17.0
88,1,5,147,1,1,80.0,0,I,MELB_URBAN,HIGHWAY,1,10.0
89,1,5,99,1,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,13.0
90,2,5,100,1,1,60.0,0,I,MELB_URBAN,STREET,1,15.0
91,1,5,133,5,1,70.0,0,N,MELB_URBAN,ROAD,1,15.0
92,2,5,99,5,1,60.0,0,N,MELB_URBAN,STREET,1,15.0
93,1,5,121,2,1,60.0,0,I,TOWNS,STREET,1,15.0
94,1,5,130,2,1,70.0,0,I,MELB_URBAN,STREET,1,16.0
95,1,5,99,5,1,50.0,0,N,MELB_URBAN,STREET,1,16.0
96,1,5,110,1,1,100.0,0,I,MELB_URBAN,ROAD,1,16.0
97,1,5,110,1,1,60.0,0,I,MELB_URBAN,ROAD,1,20.0
98,1,5,110,1,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,17.0
99,5,5,99,5,1,100.0,0,N,RURAL_VICTORIA,OTHER,1,11.0
100,1,5,140,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,17.0
101,1,4,121,1,1,60.0,0,I,MELB_URBAN,ROAD,1,17.0
102,4,2,171,5,1,60.0,0,N,TOWNS,STREET,1,19.0
103,4,5,171,2,2,40.0,0,I,MELB_URBAN,STREET,1,20.0
104,2,5,100,5,6,60.0,0,N,MELB_URBAN,STREET,1,23.0
105,2,6,99,2,3,60.0,0,I,MELB_URBAN,STREET,1,3.0
106,4,5,173,5,3,60.0,0,N,MELB_URBAN,OTHER,1,4.0
107,1,6,130,5,2,100.0,0,N,RURAL_VICTORIA,ROAD,1,5.0
108,1,5,130,5,1,30.0,0,N,SMALL_CITIES,HIGHWAY,1,14.0
109,4,5,181,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,15.0
110,4,5,171,5,1,80.0,0,N,LARGE_PROVINCIAL_CITIES,FREEWAY,1,18.0
111,6,5,170,1,1,80.0,0,I,RURAL_VICTORIA,ROAD,1,10.0
112,4,5,183,5,1,80.0,0,N,RURAL_VICTORIA,STREET,1,6.0
113,1,4,120,5,1,60.0,0,N,SMALL_TOWNS,ROAD,1,13.0
114,1,6,121,4,1,60.0,0,N,SMALL_CITIES,STREET,1,12.0
115,1,6,99,2,1,50.0,0,I,MELB_URBAN,AVENUE,1,12.0
116,4,6,173,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
117,1,5,110,1,1,50.0,0,I,MELB_URBAN,AVENUE,1,18.0
118,1,3,163,5,3,40.0,0,N,MELB_URBAN,STREET,1,21.0
119,6,6,99,5,1,50.0,0,N,TOWNS,ROAD,1,16.0
120,3,5,167,5,6,60.0,0,N,RURAL_VICTORIA,ROAD,1,23.0
121,4,6,173,5,1,80.0,0,N,RURAL_VICTORIA,ROAD,1,17.0
122,1,6,133,5,1,80.0,0,N,MELB_URBAN,FREEWAY,1,18.0
123,1,6,110,1,1,50.0,0,I,SMALL_CITIES,STREET,1,19.0
124,7,6,99,5,1,60.0,0,N,MELB_URBAN,AVENUE,1,20.0
125,4,6,171,5,3,80.0,0,N,MELB_URBAN,HIGHWAY,1,23.0
126,1,7,99,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,0.0
127,1,7,110,1,3,60.0,0,I,LARGE_PROVINCIAL_CITIES,STREET,1,0.0
128,1,7,130,5,5,100.0,0,N,MELB_URBAN,FREEWAY,1,1.0
129,1,6,110,1,3,60.0,0,I,MELB_URBAN,ROAD,1,1.0
130,4,7,99,2,3,60.0,0,I,SMALL_CITIES,ROAD,1,4.0
131,1,4,99,4,3,60.0,0,I,MELB_URBAN,STREET,1,23.0
132,1,7,110,1,2,60.0,0,I,MELB_URBAN,STREET,1,5.0
133,1,6,99,5,1,50.0,0,N,SMALL_CITIES,ROAD,1,8.0
134,1,6,132,2,1,60.0,0,I,MELB_URBAN,ROAD,1,17.0
135,1,6,130,5,1,70.0,0,N,MELB_URBAN,ROAD,1,9.0
136,1,7,132,1,1,60.0,0,I,SMALL_CITIES,ROAD,1,9.0
137,8,6,184,5,2,60.0,0,N,MELB_URBAN,STREET,1,20.0
138,8,6,99,2,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,15.0
139,1,7,99,5,1,60.0,0,N,MELB_URBAN,ROAD,1,10.0
140,1,7,120,5,1,60.0,0,N,MELB_URBAN,STREET,1,11.0
141,4,7,99,2,1,80.0,0,N,RURAL_VICTORIA,HIGHWAY,1,7.0
142,1,7,130,5,1,60.0,0,N,SMALL_TOWNS,ROAD,1,11.0
143,1,7,121,4,1,80.0,0,I,MELB_URBAN,HIGHWAY,1,11.0
144,1,7,130,5,1,60.0,0,N,SMALL_CITIES,HIGHWAY,1,11.0
145,8,7,184,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
146,1,7,130,5,1,70.0,0,N,LARGE_PROVINCIAL_CITIES,STREET,1,16.0
147,1,1,130,5,1,70.0,0,N,SMALL_CITIES,STREET,1,16.0
148,1,7,113,2,1,80.0,0,I,TOWNS,ROAD,1,14.0
149,4,7,171,5,1,110.0,0,N,RURAL_VICTORIA,FREEWAY,1,7.0
150,1,7,130,1,1,60.0,0,I,MELB_URBAN,HIGHWAY,1,17.0
151,4,7,181,5,1,100.0,1,N,RURAL_VICTORIA,ROAD,1,14.0
152,1,5,163,5,2,50.0,0,N,MELB_URBAN,STREET,1,19.0
153,4,6,99,2,1,50.0,0,I,MELB_URBAN,OTHER,1,13.0
154,1,7,99,2,1,60.0,0,N,SMALL_CITIES,AVENUE,1,18.0
155,4,7,173,5,1,80.0,0,N,MELB_URBAN,ROAD,1,18.0
156,4,7,171,5,3,60.0,0,N,MELB_URBAN,ROAD,1,21.0
157,4,7,173,5,3,80.0,0,N,MELB_URBAN,ROAD,1,23.0
158,8,6,99,1,3,60.0,0,I,MELB_URBAN,ROAD,1,22.0
159,8,1,170,2,3,50.0,0,I,MELB_URBAN,AVENUE,1,3.0
160,4,1,181,2,5,75.0,0,I,RURAL_VICTORIA,ROAD,1,2.0
161,1,1,121,1,3,60.0,0,I,MELB_URBAN,STREET,1,4.0
162,1,1,99,5,3,60.0,0,N,MELB_URBAN,ROAD,1,2.0
163,1,1,110,1,2,60.0,0,I,MELB_URBAN,STREET,1,6.0
164,4,1,173,5,2,50.0,0,N,MELB_URBAN,DRIVE,1,6.0
165,8,1,174,5,1,60.0,0,N,MELB_URBAN,ROAD,1,8.0
166,4,1,173,5,1,100.0,0,N,MELB_URBAN,FREEWAY,1,9.0
167,4,1,171,4,1,40.0,0,I,MELB_URBAN,ROAD,1,10.0
168,8,7,99,5,1,100.0,0,N,RURAL_VICTORIA,HIGHWAY,1,14.0
169,1,1,160,5,1,70.0,0,N,MELB_URBAN,ROAD,1,10.0
170,2,1,99,5,1,60.0,0,N,MELB_URBAN,ROAD,1,9.0
171,2,1,99,1,1,50.0,0,I,MELBOURNE_CBD,STREET,1,13.0
172,1,1,133,1,1,60.0,0,I,MELB_URBAN,ROAD,1,12.0
173,1,1,113,2,1,60.0,0,I,TOWNS,ROAD,1,12.0
